bus_name,departure_time,pick_up_point,arrival_time,drop_of_point,start_point,destination,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,rating_overall,review_count,number_of_seat,price_original,price_discounted,discounted_percentage,day,date,duration_m,route
Liên Hưng,19:00:00,Bến xe,02:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,21,500000000,420000000,16.0,Saturday,11-10-2025,450,Sài Gòn - Nha Trang
Như Ý 78,17:00:00,Bến xe,02:15:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.6,135,24,290000000,290000000,0.0,Saturday,11-10-2025,555,Sài Gòn - Nha Trang
Liên Hưng,09:00:00,Other,18:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,540,Sài Gòn - Nha Trang
Cúc Tùng,19:00:00,Văn phòng,06:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,695,Sài Gòn - Nha Trang
Tài Phát Limousine,17:15:00,Bến xe,02:05:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.9,4.9,4.9,4.9,4.9,4.9,5.0,5.0,1170,24,520000000,450000000,13.0,Saturday,11-10-2025,530,Sài Gòn - Nha Trang
Hiếu Vinh,17:01:00,Bến xe,03:01:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
Hiếu Vinh,16:01:00,Bến xe,03:01:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,660,Sài Gòn - Nha Trang
Liên Hưng,13:30:00,Other,23:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,570,Sài Gòn - Nha Trang
Hiếu Vinh,16:01:00,Bến xe,05:01:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,780,Sài Gòn - Nha Trang
Liên Hưng,08:30:00,Văn phòng,18:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
Liên Hưng,08:45:00,Other,16:30:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,21,490000000,300000000,39.0,Saturday,11-10-2025,465,Sài Gòn - Nha Trang
Cúc Tùng,07:00:00,Bến xe,17:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,635,Sài Gòn - Nha Trang
Liên Hưng,08:00:00,Bến xe,18:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,630,Sài Gòn - Nha Trang
Cúc Tùng,06:30:00,Bến xe,18:05:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,562000000,299000000,47.0,Saturday,11-10-2025,695,Sài Gòn - Nha Trang
Liên Hưng,13:00:00,Bến xe,23:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,630,Sài Gòn - Nha Trang
Mười Phương Express,13:00:00,Bến xe,21:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.3,4.3,4.3,4.3,4.3,4.0,4.2,165,34,300000000,270000000,10.0,Saturday,11-10-2025,525,Sài Gòn - Nha Trang
Hiếu Vinh,16:01:00,Bến xe,04:01:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,720,Sài Gòn - Nha Trang
Như Ý 78,17:00:00,Bến xe,02:00:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.6,135,34,200000000,200000000,0.0,Saturday,11-10-2025,540,Sài Gòn - Nha Trang
Liên Hưng,09:00:00,Other,18:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,570,Sài Gòn - Nha Trang
Hiếu Vinh,16:01:00,Bến xe,01:46:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,585,Sài Gòn - Nha Trang
Hoàng Khang,15:30:00,Văn phòng,23:30:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.3,3.8,4.1,3.8,3.8,3.8,4.8,3.5,116,34,330000000,295000000,11.0,Saturday,11-10-2025,480,Sài Gòn - Nha Trang
Mười Phương Express,18:30:00,Bến xe,01:15:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.3,4.3,4.3,4.3,4.3,4.0,4.2,165,24,400000000,360000000,10.0,Saturday,11-10-2025,405,Sài Gòn - Nha Trang
Khang Vy Limousine,18:45:00,Other,02:05:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.3,76,24,550000000,550000000,0.0,Saturday,11-10-2025,440,Sài Gòn - Nha Trang
Trung Thành,17:30:00,Bến xe,02:10:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.9,19,24,500000000,400000000,20.0,Saturday,11-10-2025,520,Sài Gòn - Nha Trang
Liên Hưng,08:30:00,Other,18:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
Tân Quang Dũng,05:00:00,Bến xe,15:00:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,3.8,2348,32,400000000,400000000,0.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
Khang Vy Limousine,19:00:00,Other,02:20:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.3,76,24,550000000,550000000,0.0,Saturday,11-10-2025,440,Sài Gòn - Nha Trang
Tân Quang Dũng,13:01:00,Bến xe,23:01:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,3.8,2348,22,1000000000,1000000000,0.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
Liên Hưng,08:30:00,Other,18:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,570,Sài Gòn - Nha Trang
Như Ý 78,18:00:00,Bến xe,02:15:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.6,135,24,290000000,290000000,0.0,Saturday,11-10-2025,495,Sài Gòn - Nha Trang
Hiếu Vinh,17:01:00,Bến xe,01:16:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,495,Sài Gòn - Nha Trang
Như Ý 78,17:00:00,Bến xe,02:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.6,135,24,290000000,290000000,0.0,Saturday,11-10-2025,585,Sài Gòn - Nha Trang
Mười Phương Express,16:00:00,Bến xe,00:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.3,4.3,4.3,4.3,4.3,4.0,4.2,165,34,300000000,270000000,10.0,Saturday,11-10-2025,525,Sài Gòn - Nha Trang
Hiếu Vinh,17:01:00,Bến xe,05:01:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,720,Sài Gòn - Nha Trang
Cúc Tùng,20:30:00,Bến xe,07:05:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,562000000,299000000,47.0,Saturday,11-10-2025,635,Sài Gòn - Nha Trang
Mười Phương Express,16:30:00,Bến xe,01:15:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.3,4.3,4.3,4.3,4.3,4.0,4.2,165,24,400000000,360000000,10.0,Saturday,11-10-2025,525,Sài Gòn - Nha Trang
Hiếu Vinh,16:01:00,Bến xe,01:16:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,555,Sài Gòn - Nha Trang
Cúc Tùng,04:00:00,Bến xe,16:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,755,Sài Gòn - Nha Trang
Mười Phương Express,18:00:00,Bến xe,00:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.3,4.3,4.3,4.3,4.3,4.0,4.2,165,34,300000000,270000000,10.0,Saturday,11-10-2025,405,Sài Gòn - Nha Trang
Hoàng Khang,15:00:00,Bến xe,23:30:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.3,3.8,4.1,3.8,3.8,3.8,4.8,3.5,116,34,330000000,295000000,11.0,Saturday,11-10-2025,510,Sài Gòn - Nha Trang
Cúc Tùng,06:30:00,Văn phòng,18:05:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,562000000,299000000,47.0,Saturday,11-10-2025,695,Sài Gòn - Nha Trang
Cúc Tùng,05:00:00,Bến xe,17:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,755,Sài Gòn - Nha Trang
Cúc Tùng,05:00:00,Văn phòng,16:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,695,Sài Gòn - Nha Trang
Hiếu Vinh,17:01:00,Bến xe,01:46:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.6,4.5,4.5,4.5,4.4,4.4,4.5,4.3,83,40,200000000,200000000,0.0,Saturday,11-10-2025,525,Sài Gòn - Nha Trang
Cúc Tùng,05:00:00,Bến xe,16:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,695,Sài Gòn - Nha Trang
Cúc Tùng,07:30:00,Bến xe,18:05:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,21,562000000,299000000,47.0,Saturday,11-10-2025,635,Sài Gòn - Nha Trang
Liên Hưng,07:30:00,Văn phòng,18:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,660,Sài Gòn - Nha Trang
Liên Hưng,14:00:00,Other,23:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,540,Sài Gòn - Nha Trang
Liên Hưng,13:30:00,Văn phòng,23:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
Liên Hưng,14:00:00,Other,23:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,570,Sài Gòn - Nha Trang
Liên Hưng,09:15:00,Other,18:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,555,Sài Gòn - Nha Trang
An Phú Buslines,18:00:00,Bến xe,01:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.6,1205,34,380000000,380000000,0.0,Saturday,11-10-2025,465,Sài Gòn - Nha Trang
Cúc Tùng,06:00:00,Bến xe,16:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,635,Sài Gòn - Nha Trang
Tân Quang Dũng,13:30:00,Bến xe,23:30:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,3.8,2348,32,400000000,400000000,0.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
Liên Hưng,14:15:00,Other,23:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,525,Sài Gòn - Nha Trang
An Phú Buslines,19:30:00,Văn phòng,03:00:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.6,1205,24,480000000,480000000,0.0,Saturday,11-10-2025,450,Sài Gòn - Nha Trang
Tân Quang Dũng,11:00:00,Bến xe,21:00:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,3.8,2348,32,400000000,400000000,0.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
Liên Hưng,13:30:00,Other,23:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,600,Sài Gòn - Nha Trang
Ngọc Ánh Limousine,18:30:00,Bến xe,02:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.7,13,24,500000000,500000000,0.0,Saturday,11-10-2025,495,Sài Gòn - Nha Trang
Cúc Tùng,06:00:00,Văn phòng,17:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,695,Sài Gòn - Nha Trang
Ngọc Ánh Limousine,17:30:00,Bến xe,02:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.7,13,24,500000000,500000000,0.0,Saturday,11-10-2025,555,Sài Gòn - Nha Trang
Liên Hưng,14:15:00,Other,23:30:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,363000000,280000000,23.0,Saturday,11-10-2025,555,Sài Gòn - Nha Trang
Ngọc Ánh Limousine,18:00:00,Other,02:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.7,13,24,500000000,500000000,0.0,Saturday,11-10-2025,525,Sài Gòn - Nha Trang
Mạnh Hùng,19:01:00,Bến xe,02:01:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,2.8,300,22,500000000,500000000,0.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
Mai Quyên,21:30:00,Other,03:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,3.6,80,24,500000000,500000000,0.0,Saturday,11-10-2025,375,Sài Gòn - Nha Trang
Cúc Tùng,06:00:00,Bến xe,17:35:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763,32,388000000,300000000,23.0,Saturday,11-10-2025,695,Sài Gòn - Nha Trang
Khang Vy Limousine,16:00:00,Other,23:20:00,Bến xe,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.3,76,34,450000000,450000000,0.0,Saturday,11-10-2025,440,Sài Gòn - Nha Trang
Liên Hưng,09:15:00,Other,18:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,32,330000000,250000000,24.0,Saturday,11-10-2025,525,Sài Gòn - Nha Trang
Mạnh Hùng,19:02:00,Bến xe,02:02:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,2.8,300,22,770000000,770000000,0.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
Mạnh Hùng,18:20:00,Bến xe,01:20:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,2.8,300,4,310000000,310000000,0.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
Mạnh Hùng,20:02:00,Bến xe,03:02:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,2.8,300,22,770000000,770000000,0.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
Mạnh Hùng,20:00:00,Bến xe,03:00:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,2.8,300,22,500000000,500000000,0.0,Saturday,11-10-2025,420,Sài Gòn - Nha Trang
Thanh Thuỷ - Quảng Ngãi,18:00:00,Bến xe,02:55:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.4927631578947365,4.368640350877193,4.431578947368421,4.356798245614035,4.289254385964912,4.215131578947368,4.448026315789474,4.5,935,24,500000000,450000000,10.0,Saturday,11-10-2025,535,Sài Gòn - Nha Trang
Huỳnh Gia,22:30:00,Văn phòng,04:55:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,38,280000000,250000000,11.0,Saturday,11-10-2025,385,Sài Gòn - Nha Trang
Huỳnh Gia,23:00:00,Văn phòng,05:25:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,280000000,238000000,15.0,Saturday,11-10-2025,385,Sài Gòn - Nha Trang
Huỳnh Gia,20:30:00,Văn phòng,03:25:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,450000000,6.0,Saturday,11-10-2025,415,Sài Gòn - Nha Trang
Huỳnh Gia,22:10:00,Văn phòng,05:05:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,408000000,15.0,Saturday,11-10-2025,415,Sài Gòn - Nha Trang
Huỳnh Gia,11:00:00,Văn phòng,17:25:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,280000000,238000000,15.0,Saturday,11-10-2025,385,Sài Gòn - Nha Trang
Huỳnh Gia,11:45:00,Văn phòng,18:10:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,280000000,238000000,15.0,Saturday,11-10-2025,385,Sài Gòn - Nha Trang
Nhật Dương - Bình Minh Bus,23:45:00,Other,06:06:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,22,349000000,304000000,13.0,Saturday,11-10-2025,381,Sài Gòn - Nha Trang
Huỳnh Gia,09:00:00,Văn phòng,15:55:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,408000000,15.0,Saturday,11-10-2025,415,Sài Gòn - Nha Trang
Huỳnh Gia,10:00:00,Văn phòng,16:55:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,408000000,15.0,Saturday,11-10-2025,415,Sài Gòn - Nha Trang
Huỳnh Gia,12:30:00,Văn phòng,19:25:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,408000000,15.0,Saturday,11-10-2025,415,Sài Gòn - Nha Trang
Huỳnh Gia,15:00:00,Văn phòng,21:55:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,456000000,5.0,Saturday,11-10-2025,415,Sài Gòn - Nha Trang
Khanh Phong,20:00:00,Văn phòng,01:55:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,32,320000000,300000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
Huỳnh Gia,22:45:00,Văn phòng,05:10:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,280000000,238000000,15.0,Saturday,11-10-2025,385,Sài Gòn - Nha Trang
Khanh Phong,12:10:00,Văn phòng,18:05:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
Khanh Phong,16:50:00,Văn phòng,22:45:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
Huỳnh Gia,22:20:00,Văn phòng,05:15:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,34,300000000,300000000,0.0,Saturday,11-10-2025,415,Sài Gòn - Nha Trang
Nhật Dương - Bình Minh Bus,05:15:00,Other,12:50:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,21,349000000,304000000,13.0,Saturday,11-10-2025,455,Sài Gòn - Nha Trang
Nhật Dương - Bình Minh Bus,23:25:00,Other,05:46:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,22,349000000,304000000,13.0,Saturday,11-10-2025,381,Sài Gòn - Nha Trang
Nhật Dương - Bình Minh Bus,23:30:00,Other,07:05:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,21,349000000,304000000,13.0,Saturday,11-10-2025,455,Sài Gòn - Nha Trang
Huỳnh Gia,22:30:00,Văn phòng,05:25:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534,21,480000000,456000000,5.0,Saturday,11-10-2025,415,Sài Gòn - Nha Trang
Khanh Phong,22:40:00,Văn phòng,04:35:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
Nhật Dương - Bình Minh Bus,12:45:00,Other,20:20:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826,21,349000000,304000000,13.0,Saturday,11-10-2025,455,Sài Gòn - Nha Trang
Khanh Phong,15:15:00,Văn phòng,21:10:00,Other,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845,20,480000000,450000000,6.0,Saturday,11-10-2025,355,Sài Gòn - Nha Trang
Liên Hưng,01:30:00,Other,10:30:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.3,4.2,4.3,4.1,4.0,3.9,4.2,4.0,12922,34,330000000,280000000,15.0,Saturday,11-10-2025,540,Sài Gòn - Nha Trang
Phúc An Express,20:45:00,Other,03:00:00,Văn phòng,Sài Gòn,Nha Trang - Khánh Hoà,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,3425,32,300000000,300000000,0.0,Saturday,11-10-2025,375,Sài Gòn - Nha Trang
